Date,Open,High,Low,Close,Adj Close,Volume,Total Traded,return
2020-01-02,9.289999961853027,9.420000076293945,9.1899995803833,9.420000076293945,8.077004432678223,43425700,403424751.343441,
2020-01-03,9.3100004196167,9.369999885559082,9.149999618530273,9.210000038146973,7.896945476531982,45040800,419329866.8998718,-0.02229299749959146
2020-01-06,9.100000381469727,9.170000076293945,9.0600004196167,9.15999984741211,7.854072093963623,43372300,394687946.5452194,-0.005428902337433983
2020-01-07,9.199999809265137,9.25,9.119999885559082,9.25,7.931241035461426,44984100,413853711.41996384,0.009825344332655028
2020-01-08,9.229999542236328,9.300000190734863,9.170000076293945,9.25,7.931241035461426,45994900,424532905.9452057,0.0
2020-01-09,9.300000190734863,9.3100004196167,9.180000305175781,9.260000228881836,7.939815521240234,51817400,481901829.8833847,0.0010811058250632666
2020-01-10,9.270000457763672,9.359999656677246,9.25,9.25,7.931241035461426,39796300,368911719.2173004,-0.0010799382974792104
2020-01-13,9.25,9.260000228881836,9.109999656677246,9.239999771118164,7.922666549682617,48553700,449121725.0,-0.0010811058250633776
2020-01-14,9.220000267028809,9.329999923706055,9.210000038146973,9.289999961853027,7.965538501739502,42935600,395866243.4650421,0.005411276187597958
2020-01-15,9.270000457763672,9.300000190734863,9.180000305175781,9.1899995803833,7.879794597625732,55923900,518414578.5999298,-0.01076430375461268
2020-01-16,9.229999542236328,9.279999732971191,9.149999618530273,9.170000076293945,7.86264705657959,44310400,408984971.7163086,-0.0021762247010376212
2020-01-17,9.1899995803833,9.229999542236328,9.130000114440918,9.15999984741211,7.854072093963623,41644900,382716613.5251045,-0.0010905374916722055
2020-01-21,9.149999618530273,9.220000267028809,9.100000381469727,9.210000038146973,7.896945476531982,49556400,453441041.09573364,0.005458536197354702
2020-01-22,9.220000267028809,9.25,9.149999618530273,9.15999984741211,7.854072093963623,39914800,368014466.6584015,-0.005428902337433983
2020-01-23,9.140000343322754,9.15999984741211,8.930000305175781,9.140000343322754,7.8369245529174805,75848700,693257144.0405846,-0.002183352011190909
2020-01-24,9.109999656677246,9.119999885559082,8.960000038146973,9.0,7.716884136199951,68100900,620399175.6194115,-0.015317323639383873
2020-01-27,8.880000114440918,8.960000038146973,8.779999732971191,8.890000343322754,7.622565746307373,60769300,539631390.9544945,-0.012222184075249554
